#,abstract_canonical_key,kind,title,rule_summary,pattern,confidence,model,prompt_version
1,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,IF,Gleichheitsprüfung mit alternativen Abläufen,"Das Muster prüft, ob zwei Werte gleich sind, und führt je nach Ergebnis unterschiedliche Verarbeitungsroutinen aus. Es handelt sich um eine einfache Gleichheitsprüfung mit zwei alternativen Abläufen. Die Entscheidung steuert den Programmfluss basierend auf dem Vergleich.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
2,02f746ab8eeefe9991858fde9284fa87a543c1b7eb6b3ef1ac62e2f17d7b1aca,IF,Fester Wertvergleich mit alternativen Aktionen,"Das Muster prüft, ob ein bestimmtes Feld einen festen numerischen Wert hat. Je nach Ergebnis wird eine von zwei Verarbeitungsroutinen ausgeführt. Es handelt sich um eine einfache Wertvergleichsentscheidung mit zwei alternativen Aktionen.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
3,01cccfc532f2e3b78433c948867e1626b0102b056a5e248312ddac201226ba06,EVALUATE,Programmflusssteuerung über Antwortcode,Das Muster steuert den Programmfluss basierend auf einem Antwortcode. Bei Übereinstimmung mit einem bestimmten Status wird ein Sprung zu einer definierten Verarbeitungsroutine ausgeführt. Es handelt sich um eine technische Ablaufsteuerung ohne fachliche Berechnung.,CONTROL_FLOW_TEMPLATE,0.95,gpt-4.1-mini,v1
4,848c2d68b3b9bf824a0bb4cf01cbd87fa61a67fd6e6e0314a0375e58281c34d7,IF,Technische Steuerung mit immer wahrer Bedingung,"Das Muster prüft eine Variable auf Gleichheit mit sich selbst und führt je nach Ergebnis unterschiedliche Verarbeitungspfade aus. Da die Bedingung immer wahr ist, wird stets der erste Pfad ausgeführt. Dies entspricht einem technischen Steuerungsidiom ohne fachliche Entscheidung.",IDIOM_PATTERN,0.95,gpt-4.1-mini,v1
5,4c3c6b0cf8051a2e3a99314d608f231eda25dc6bd7a9ec046f39e860c684325f,IF,Steuerung basierend auf Nullwertprüfung,"Das Muster prüft, ob ein Zähler- oder Statusfeld den Wert Null hat. Je nach Ergebnis wird eine positive oder negative Folgeaktion ausgeführt. Es handelt sich um eine technische Steuerung basierend auf einem einfachen Wertvergleich.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
6,565a0c8e57e66f57ac8b6528f320d68a2dcf7bc8edf36913c6da0916e6c1eb48,IF,Wertvergleich mit alternativen Prozeduraufrufen,"Das Muster prüft, ob ein bestimmter Wert ungleich einem vorgegebenen String ist. Je nach Ergebnis wird eine von zwei Prozeduren ausgeführt. Es handelt sich um eine einfache Wertvergleichsentscheidung mit zwei alternativen Abläufen.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
7,21923098439d69c9b1e5e25e15ac1bc0f43825ef7fe7fb039f80968bb6bc9530,EVALUATE,Fehlerweiterleitung bei unbekanntem Antwortcode,Das Muster behandelt alle nicht explizit abgefangenen Antwortcodes durch Weiterleitung zu einer Fehlerbehandlungsroutine. Es dient der zentralen Fehlersteuerung bei unerwarteten Antwortwerten. Die Entscheidung basiert ausschließlich auf dem Antwortcode.,CONTROL_FLOW_TEMPLATE,1,gpt-4.1-mini,v1
8,4503b33dcc8cc48988afbcc0a44b83caaa512c38996f4ccdd6825aa401c90253,IF,Ersetzung von Bindestrich durch Leerzeichen,"Wenn ein bestimmtes Feld den Wert Bindestrich hat, wird es auf ein Leerzeichen gesetzt. Dies dient der Anpassung oder Bereinigung von Eingabedaten. Die Regel ersetzt explizit Bindestriche durch Leerzeichen in einem Feld.",DATA_VALIDATION,0.9,gpt-4.1-mini,v1
9,18cab32f2ffb510c4ca8655f20a86d91b52ecdd20bd1e4ef59fd302fea2d8c27,EVALUATE,Zuordnung von SQL-Rückgabewerten zu Statuscodes,Das Muster weist bestimmten SQL-Rückgabewerten spezifische Rückgabecodes zu. Es handelt sich um eine direkte Zuordnung von SQLCODE zu einem internen Statuscode. Die Regel dient der Interpretation von SQL-Ergebnissen.,BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
10,5fa643a4c89abdc7a37737a3b1e3571f754ca7ae374fd3033acb885e49b2579b,IF,Ende-des-Monats-Status bei Datumsgleichheit,"Wenn das aktuelle Tagesdatum mit dem Laufdatum übereinstimmt, wird ein End-der-Monat-Status gesetzt. Dies kennzeichnet das Erreichen des Monatsendes im Programmablauf. Die Regel steuert eine Statusmarkierung basierend auf dem Datum.",BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
