#,abstract_canonical_key,kind,title,rule_summary,pattern,confidence,model,prompt_version
1,7ceec9ff934604e7f66c58b3c291e8558008b6dbf38158809276797319ba8eec,IF,Entscheidung basierend auf Wertgleichheit,"Das Muster steuert den Programmfluss abhängig vom Vergleich zweier Werte. Bei Gleichheit wird eine positive Aktion ausgeführt, andernfalls eine alternative Aktion. Es handelt sich um eine technische Ablaufsteuerung ohne erkennbare fachliche Bedeutung.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
2,02f746ab8eeefe9991858fde9284fa87a543c1b7eb6b3ef1ac62e2f17d7b1aca,IF,Prüfung auf exakten Wert mit Folgeaktion,"Das Muster prüft, ob ein Feld einen bestimmten festen Wert hat. Je nach Ergebnis wird eine von zwei Aktionen ausgeführt. Dies deutet auf eine fachliche Entscheidung basierend auf einem Schlüsselwert hin.",BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
3,01cccfc532f2e3b78433c948867e1626b0102b056a5e248312ddac201226ba06,EVALUATE,Weiterleitung basierend auf Antwortcode,Das Muster leitet die Verarbeitung anhand eines Antwortcodes an eine bestimmte Programmstelle weiter. Es handelt sich um eine technische Steuerung des Programmflusses ohne weitere fachliche Entscheidung. Die Zieladresse wird direkt durch den Wert des Antwortcodes bestimmt.,CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
4,848c2d68b3b9bf824a0bb4cf01cbd87fa61a67fd6e6e0314a0375e58281c34d7,IF,Technische Selbstvergleichsprüfung mit Verzweigung,"Das Muster prüft, ob ein Feld gleich sich selbst ist, was immer wahr ist. Je nach Ergebnis wird eine von zwei Prozeduren ausgeführt. Dies ist ein technisches Kontrollmuster ohne fachliche Bedeutung.",IDIOM_PATTERN,0.95,gpt-4.1-mini,v1
5,4c3c6b0cf8051a2e3a99314d608f231eda25dc6bd7a9ec046f39e860c684325f,IF,Steuerung basierend auf Nullwertprüfung,"Das Muster prüft, ob ein Wert Null ist, und steuert den Programmfluss durch Ausführung unterschiedlicher Prozeduren. Bei Null wird eine Prozedur ausgeführt, andernfalls eine alternative. Dies dient der Ablaufsteuerung ohne fachliche Wertinterpretation.",CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
6,565a0c8e57e66f57ac8b6528f320d68a2dcf7bc8edf36913c6da0916e6c1eb48,IF,Prüfung auf spezifischen Stringwert,"Das Muster prüft, ob ein Feld einen bestimmten vorgegebenen Stringwert enthält. Bei Abweichung wird eine Fehlerbehandlung ausgeführt, andernfalls eine Erfolgshandlung. Es handelt sich um eine Validierung von Eingabedaten anhand eines festen Vergleichswerts.",DATA_VALIDATION,0.95,gpt-4.1-mini,v1
7,21923098439d69c9b1e5e25e15ac1bc0f43825ef7fe7fb039f80968bb6bc9530,EVALUATE,Fehlerbehandlung bei unerwarteten Antwortcodes,Das Muster steuert die Programmflusssteuerung bei nicht spezifizierten Antwortcodes. Es leitet in allen unbekannten Fällen zu einer Fehlerbehandlungsroutine weiter. Dies dient der technischen Ablaufsteuerung bei unerwarteten Ergebnissen.,CONTROL_FLOW_TEMPLATE,0.9,gpt-4.1-mini,v1
8,4503b33dcc8cc48988afbcc0a44b83caaa512c38996f4ccdd6825aa401c90253,IF,Ersetzung eines Platzhalterzeichens,"Wenn ein bestimmtes Platzhalterzeichen erkannt wird, wird es durch ein Leerzeichen ersetzt. Dies dient der Bereinigung oder Normalisierung von Eingabedaten vor der weiteren Verarbeitung. Die Regel stellt eine einfache Eingabevalidierung dar.",DATA_VALIDATION,0.9,gpt-4.1-mini,v1
9,18cab32f2ffb510c4ca8655f20a86d91b52ecdd20bd1e4ef59fd302fea2d8c27,EVALUATE,Statuscode-basierte Rückgabewertzuweisung,Das Muster weist basierend auf einem Statuscode einen spezifischen Rückgabewert zu. Es handelt sich um eine einfache Statusauswertung ohne weitere Verzweigungen. Die Zuordnung erfolgt direkt und eindeutig für jeden Statuswert.,IDIOM_PATTERN,0.95,gpt-4.1-mini,v1
10,5fa643a4c89abdc7a37737a3b1e3571f754ca7ae374fd3033acb885e49b2579b,IF,Prüfung auf Monatsletzten und Setzen eines Flags,"Das Muster prüft, ob das Tagesdatum mit dem aktuellen Ausführungstag übereinstimmt. Bei Übereinstimmung wird ein Kennzeichen auf 'Y' gesetzt. Dies deutet auf eine Entscheidung zur Markierung des Monatsendes hin.",BUSINESS_RULE_CANDIDATE,0.9,gpt-4.1-mini,v1
